,Star_name,Distance,Mass,Radius
191,SDSSp J125453.90-012247.4 [de],38,0.044865636,0.10070774
192,Kelu-1A,61,0.060139044,0.10070774
193,Kelu-1B,61,0.055366104,0.10070774
194,2MASS J13204427+0409045,101,0.063957396,0.10379063
195,SDSSp J132629.82-003831.5 [de],65,0.048683988,0.09968011
196,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659722
197,2MASS J13595510-4034582,51,0.060139044,0.102763
198,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865248
199,SDSS J141659.78+500626.4 [de],149,0.056320692,0.10173537
200,DENIS-P J142527.97-365023.4 [de],38,0.020046348,0.13564716
201,LHS 2924,38.5,0.072548688,0.10892878
202,2MASS J14392837+1929150,47,0.068730336,0.10584589
203,LSPM J1440+1339,72,0.087822096,0.12228797
204,2MASS J14482563+1031590 [de],47,0.056320692,0.10173537
205,CFBDSIR 1458+10A,104,0.010595927,0.1541445
206,CFBDSIR 1458+10B,104,0.008591292,0.1335919
207,TVLM 513-46546,35.1,0.0715941,0.10790115
208,2MASS 1503+2525,20.7,0.042001872,0.09659722
209,CFBDS J150411+102717,71,0.042001872,0.09659722
210,2MASSW J1506544+132106 [de],46,0.065866572,0.10481826
211,2MASS 1507−1627,23.9,0.05727528,0.10173537
212,TVLM 868-110639,53,0.075412452,0.11098404
213,2MASSW J1515008+484742 [de],34,0.054411516,0.10173537
214,2MASSI J1526140+204341 [de],67,0.051547752,0.10070774
215,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
216,2MASS J15462718-3325111 [de],37,0.042001872,0.09659722
217,2MASSW J1552591+294849 [de],68,0.02863764,0.14695109
218,2MASSW J1555157-095605 [de],44,0.067775748,0.10584589
219,2MASS J16150413+1340079 [de],48,0.040092696,0.09659722
220,SDSSp J162414.37+002915.6 [de],36,0.041047284,0.09659722
221,2MASS J16262034+3925190 [de],110,0.067775748,0.10584589
222,2MASSW J1632291+190441 [de],50,0.046774812,0.09968011
223,WISEPA J164715.59+563208.2,28,0.039138108,0.09659722
224,LSPM J1658+7027 [de],60,0.069684924,0.10687352
225,2MASSI J1726000+153819,114,0.022910112,0.1438682
226,SDSSp J175032.96+175903.9,90,0.044865636,0.09968011
227,2MASS J18283572-4849046,39,0.04295646,0.09762485
228,LSR J1835+3259,18.5,0.073503276,0.10995641
229,2MASSW J1841086+311727,138,0.063957396,0.10379063
230,2MASS J18432213+4040209,46,0.091640448,0.12537086
231,2MASS J20004841-7523070,105,0.0238647,0.19319444
232,SDSS J204749.61-071818.3,65,0.043911048,0.09865248
233,2MASSI J2057540-025230,47,0.06682116,0.10481826
234,2MASSI J2104149-103736,62,0.065866572,0.10481826
235,PSO J318.5−22,80,0.006204822,0.15722739
236,HB 2124-4228,113,0.089731272,0.12434323
237,2MASS J21392676+0220226,32.1,0.043911048,0.09865248
238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537
239,2MASSW J2206450-421721,93,0.021000936,0.13667479
240,2MASSW J2208136+292121,154,0.025773876,0.14489583
241,2MASSW J2224438-015852,38,0.058229868,0.10173537
242,2MASS J22282889-4310262,35,0.040092696,0.09659722
243,2MASS J22373255+3922398,64,0.069684924,0.10687352
244,2MASSW J2244316+204343,56,0.011455056,0.13256427
245,2MASS J23224684-3133231,56,0.022910112,0.14284057
246,2MASS J23225299-6151275,148,0.016227996,0.16339317
247,2MASS J23515044-2537367,67,0.084003744,0.11920508
248,2MASSI J2356547-155310,74,0.07636704,0.11201167
249,WISE 0410+1502,20,0.005727528,0.12023271
250,WISE 0458+6434A,35.9,0.01431882,0.4316046
251,WISE 0458+6434B,35.9,0.00954588,0.3904994
252,WISE 1405+5534,25.3,0.02863764,0.08837618
